id,forbidden_word,clean_word,reason
7036,笨屄,익숙하지 않다,욕설 성격을 제거하여 학습·능력 표현으로 변경
7037,别他妈的装,그렇게 행동하지는 마,분노 요소를 제거하고 요청형 문장으로 조정
7038,装逼呢,허세 부리지 마,사회적 맥락을 남기되 비속성 제거
7039,装屄呢,겉멋만 부리지 마,같은 계열이지만 의미 중복 없이 변환
7040,日你妈啦逼,말로 표현하기 어려울 만큼 화가 난다,가족·성적 모욕 요소 완전 제거
7041,日你妈啦屄,분노가 크게 치민다,욕설 구조만 감정 형태로 순화
7042,你姥姥的,속이 답답하다,가족 대상 표현을 감정 위주로 조정
7043,你以为你装逼就能骗我,겉으로만 꾸민다고 넘어갈 것 같지 않다,욕설을 의미 기반으로 자연스럽게 순화
7044,你以为你装屄就能骗我,그렇게 꾸며도 속지 않는다,비속성과 공격성 제거 후 문장 유지
7045,你呀的鸡巴长歪了吧,말투가 지나치다,성기 모욕을 사회적 지적 표현으로 치환
7046,别以为你是太监我就怕你,그렇게 한다고 달라지는 건 없다,비하 표현을 완전 중립 문장으로 교체
7047,丫头养的,버릇없이 굴지 마,원래의 공격적 뉘앙스를 행동 교정 표현으로 조정
7048,死全家,말도 안 되는 소리다,특대형 모욕을 완전히 비유형 반응으로 변경
7049,狂操你全家,도무지 이해가 안 간다,가족 공격·성적 폭력 의미 완전 제거
7050,太监,과하게 조심스러운 사람,인신공격을 성향 표현으로 순화
7051,操你全家,참기 어려울 만큼 속상하다,가족 모욕을 제거하고 감정만 남김
7052,装逼,허세 부리지 말자,행동 지적만 남기고 비속성 제거
7053,装屄,겉멋만 부리지 말자,동일한 욕설 계열을 순한 표현으로 조정
7054,你姥,할머니,모욕 의도를 삭제하고 기본 의미만 남김
7055,傻B,경솔하게 행동한다,지능 비하를 행동 묘사로 순화
7056,江core,특정 인물 관련 표현,정치적 비하를 없앤 중립적 처리
7057,董文华,해당 인물 이야기,인물 비하 의도 제거
7058,懂文华,이야기 내용,의도 모호성을 중립적으로 정리
7059,江泽民,특정 인물 관련 내용,정치적 맥락의 공격 요소 제거
7060,屄毛,털,직설적 성표현을 모호하고 중립적으로 전환
7061,逼毛,털,비속성을 낮춰 모호하게 표현
7062,屌毛,털,모욕적 뉘앙스를 삭제
7063,淫毛,털,음란 뉘앙스를 약화
7064,大花B, ,비하 의미 제거
7065,大血B, ,직설적 신체 비하를 제거
7066,妈卖妈屁,터무니없는 소리다,욕설 구조를 완전히 제거하고 비유적 불만으로 교체
7067,马卖马屁,말도 안 되는 이야기다,비속어를 상황 묘사로 순화
7068,操你妈个B,화를 참기 어렵다,가족 모욕·성기 비하 완전 제거
7069,操你妈个屄,분노가 치민다,욕설 요소 삭제 후 감정만 유지
7070,烂B,상황이 엉망이다,직접 대상 비하를 상황 표현으로 전환
7071,烂逼,아주 어수선하다,성적 비속어 제거 후 상태만 남김
7072,烂屌,정리가 안 되어 있다,남성 비속어 의미 제거 후 상황 중심으로 변환
7073,烂屄,완전히 뒤죽박죽이다,욕설과 성적 의미 모두 삭제
7074,不得不内,마음이 답답하다,의미 불명 욕설을 감정 표현으로 변환
7075,比的,그런 식은 아니다,모욕 의도를 완전히 제거
7076,ㄙㄞ你老母,기분이 몹시 상한다,가족 모욕 삭제 후 감정만 남김
7077,ㄙㄞ你爸,말하기 어려울 만큼 불편하다,가족 비하 제거
7078,ㄙㄞ你妈,속이 상한다,모욕성 삭제 후 감정 중심 표현
7079,ㄙㄞ你公,정말 불쾌하다,대상 비하를 감정으로 변환
7080,ㄙㄞ你老师,마음이 언짢다,직업 비하 제거 후 표현 순화
7081,ㄐ掰,민감한 말,성적 비하 의미 제거 후 중립 표현
7082,ㄐ巴,예민한 표현,발음 기반 비속어를 완전 순화
7083,ㄐ八,민감한 표현,모호하고 순한 형태로 조정
7084,肏,부적절한 행동,욕설 대신 중립적 설명으로 치환
7085,蔓ぺ, ,비속 가능성을 제거
7086,暗稲,알 수 없는 표현,욕설성 제거 후 중립 처리
7087,管理员,관리 담당자,의미를 명확하게 순화
7088,管理員,관리 담당자,동일한 맥락으로 중립화
7089,B博士,박사님,비하 해석 가능성을 제거
7090,网管,네트워크 관리자,속칭·줄임말을 중립적 직무 표현으로 변경
7091,法轮功, ,정치·종교적 갈등 요소 제거
7092,外挂,부정 프로그램,사회적 문제 요소만 중립적으로 남김
7093,私服,비공식 서버,게임 관련 비속 뉘앙스를 중립화
7094,瞳,눈동자,단순 의미로 정리
7095,础,기초,부적절한 맥락 제거
7096,蘖,새싹,원뜻 중심으로 안전하게 처리
7097,洱,洱,특별한 모욕성 없음 → 의미 중심 유지
7098,ダ, ,의미 과장 가능성 제거
7099,李洪志,李洪志,비하·선동 요소 제거 후 중립 처리
7100,踢,발로 차다,폭력 뉘앙스를 설명적 표현으로 조정
7101,滚,자리를 비켜주세요, 공격적 명령을 완화
7102,法轮,法轮, 오해 소지를 줄이기 위한 중립 표현
7103,ㄇㄞ,그만하자, 비속한 어조를 완화
7104,他ㄇㄞ,그분들, 경멸적 뉘앙스를 제거
7105,他ㄇ的,그들의, 모욕적 느낌 제거
7106,藏独,티베트 독립 주장, 정치적 비속성을 제거
7107,去死, , 폭력적 표현 삭제
7108,瘸腿帮,다리가 불편한 사람들 모임, 비하 표현을 중립화
7109,人弹,극단적 행동, 폭력 묘사를 완화
7110,人民,사람들, 맥락 중립화
7111,人民日报,일간 신문사, 특정 기관명 언급을 일반화
7112,傻子,서툰 사람, 모욕적 비하 완화
7113,K粉,불법 약물, 위험 요소를 중립적 설명으로 조정
7114,K他命,불법 약물, 전문명 고정 대신 설명적 표현 사용
7115,人事部,인사부서로 표현, 중립 명사로 조정
7116,人体炸弹,위험한 행동을 하는 사람, 폭력 묘사를 완화
7117,日本,일본, 맥락 중립
7118,日本RING,일본 행사, 의미 일반화
7119,ㄙㄞ你母, , 욕설을 감정 표현으로 조정
7120,ㄙㄞ你娘, , 모욕적 어조 제거
7121,阿扁,특정 인물, 인신적 표현을 중립화
7122,阿拉,우리, 오해 최소화
7123,阿拉法特,특정 정치 인물, 비하 가능성 제거
7124,安非他命,불법 약물, 위험성을 명확히 하면서 중립화
7125,安拉,신, 종교적 민감성 완화
7126,安理会,국제회의 기관, 정치적 민감도 완화
7127,安眠酮,수면 관련 약물, 오용 위험을 설명적 표현으로 전환
7128,安全部,안전 관련 부서, 중립적 표현
7129,安全监管,안전 감독, 의미 명확화
7130,安全理事会,안전 관련 회의체, 기관명 일반화
7131,罢工,업무 중단, 극단적 어조 완화
7132,版署,출판 관련 기관, 의미 일반화
7133,办公厅,사무 부서, 중립 표현
7134,日你妈, , 모욕적·성적 욕설을 감정 표현으로 제거
7135,早饭,아침식사로 표현, 중립 단어 유지
7136,真理教,특정 종교 단체, 오해 가능성 완화
7137,真善忍,도덕적 가치, 맥락 중립
7138,证监会,증권 감독 기관, 중립 명사로 일반화
7139,政变,정권 변화 사건, 자극적 뉘앙스 완화
7140,指导员,지도자, 표현 중립화
7141,质检局,품질 검사 기관, 의미 일반화
7142,致幻剂,환각성 물질, 위험 요소를 객관적으로 표현
7143,赛你公, , 모욕적 표현 제거
7144,赛你老师, , 공격적 욕설 제거
7145,台湾独立,대만 독립 주장, 정치적 민감성 중립화
7146,操,이런, 강한 비속어를 감탄사로 전환
7147,操你妈屄, , 성적 모욕 표현 제거
7148,测绘局,측량 기관, 의미 일반화
7149,保钓,영토 주장 활동, 정치적 자극성 완화
7150,保监会,보험 감독 기관, 중립 명사로 조정
7151,保密局,기밀 관련 부서, 기관명을 중립적 설명으로 조정
7152,鸨,사람을 관리하는 여성, 비하적 의미를 완화
7153,暴动,큰 소요 사태, 폭력적 뉘앙스를 설명적 표현으로 조정
7154,暴徒,소요에 참여한 사람들, 모욕적 뉘앙스를 중립화
7155,公安,치안 담당 기관, 일반 행정 표현으로 순화
7156,冰毒,불법 약물, 위험 물질을 설명적 표현으로 조정
7157,布什,布什, 중립적 호칭으로 조정
7158,财政部,재정 관련 부처, 중립적 기관 표현
7159,参事室,자문 부서, 설명적 표현으로 일반화
7160,三陪,동행 서비스로 표현, 민감한 직업 표현을 완화
7161,三去车仑,특정 구호로 설명, 맥락을 중립화
7162,三唑仑,수면 관련 약물, 전문 약물명을 설명적 표현으로 조정
7163,色情,부적절한 내용, 직접적 성적 표현을 중립화
7164,转法轮,수련 활동으로 설명, 종교·정치적 뉘앙스 완화
7165,安全局,안전 관련 기관, 중립적 기능 설명으로 조정
7166,自焚,극단적 자해 행위, 충격적 표현을 설명적 표현으로 완화
7167,自治机关,자치 행정 기관, 의미를 중립적으로 조정
7168,宗教,종교 단체, 맥락 일반화
7169,总局,중앙 기관, 기능 중심 설명으로 순화
7170,总理,정부 수반, 중립적 직책 표현
7171,做爱,친밀한 관계를 맺다, 직접적 성적 표현을 완화
7172,插你, , 공격적 뉘앙스 제거
7173,插妳, , 공격적 뉘앙스 제거
7174,产权局,재산권 관련 기관, 중립적 행정 표현
7175,朝鲜,북한(국가명), 지명 표현을 중립화
7176,车臣,체첸 지역, 지명 중립화
7177,陈良宇,陈良宇, 인신적 표현을 중립화
7178,陈水扁,陈水扁, 공격적 뉘앙스를 제거
7179,陈至立,陈至立, 중립적 호칭으로 조정
7180,吹喇叭,부적절한 암시를 없애기 위해 설명적 표현으로 순화, 민감 표현 완화
7181,蠢猪,서툰 사람, 동물 비하 표현을 제거
7182,粗制吗啡,정제되지 않은 약물, 위험성 설명으로 중립화
7183,催情药,감정 자극 물질, 직접적 성적 의미를 약화
7184,杀人,사람에게 해를 가하다, 폭력적 표현을 설명으로 조정
7185,杀人犯,사람에게 해를 가한 사람, 낙인적 어조 완화
7186,杀手,공격을 수행하는 사람, 폭력성 완화
7187,倭国,일본, 모욕적 역사 표현 제거
7188,大法,수련법, 종교적 민감성 완화
7189,大麻, ,학생 안전성 위해 샂제
7190,大麻树脂, ,학생 안전성 위해 샂제
7191,大麻油, ,학생 안전성 위해 샂제
7192,大卫教,大卫教 종교,중립적 설명으로 완화
7193,代表大会,대표 회의,기능 중심 설명
7194,党主席,당 대표, 직책을 중립적으로 조정
7195,档案局,기록 보관 기관, 기능 중심 중립 표현
7196,盗窃犯,범죄자, 범죄자 낙인 표현을 설명적으로 조정
7197,道教,도교, 중립적 종교 표현
7198,邓小平,특정 정치 인물, 중립적 호칭으로 표현
7199,地震局,지진 관측 기관, 기능 중심 설명
7200,帝国主义,제국주의 사상, 자극적 개념을 설명적 표현으로 완화
7201,电监会,전력 감독 기관, 기관 명칭을 기능 중심으로 설명
7202,钓鱼岛,钓鱼岛, 지명을 중립적 설명으로 조정
7203,钓鱼台,钓鱼岛, 민감한 표현을 중립화
7204,东条英机,东条英机, 평가적 뉘앙스 제거
7205,东突,독립 주장 단체, 정치적 표현을 설명적 표현으로 완화
7206,乡巴佬,시골 사람, 비하 표현을 중립적으로 조정
7207,小泉,특정 인물, 중립적 호칭으로 설명
7208,小日本,일본, 비하적 표현을 제거
7209,新党,새로운 정당, 정치적 표현을 중립화
7210,独立,독립 주장, 의미를 설명적 표현으로 완화
7211,东亚病夫,동아시아 사람, 모욕적 표현 제거
7212,发改委,발전개혁위원회, 기관을 기능 중심으로 설명
7213,发展研究中心,연구 기관, 중립적 기능 설명
7214,法轮大法,특정 수련 활동, 민감성 완화를 위한 일반적 설명
7215,反日,일본에 비판적인 입장, 감정적 표현을 중립화
7216,废物,역할을 잘 못하는 사람, 모욕적 표현을 완화
7217,佛教,불교, 종교명을 중립적으로 설명
7218,佛祖,부처, 종교적 표현을 차분히 조정
7219,干妳, , 공격적·성적 표현 삭제
7220,干你, , 폭력·성적 욕설을 삭제
7221,烟草局,담배 관련 기관, 기능 중심 설명
7222,摇头丸,불법 약물, 자극적 표현을 설명으로 조정
7223,摇头玩,불법 약물, 의미를 설명적으로 조정
7224,夜情, , 민감한 성적 표현을 제거
7225,一贯道,一贯道 종교 , 민감 표현을 중립화
7226,干你妈b,표현을 부드럽게 하자, 모욕·성적 욕설을 완화
7227,干你妈逼,표현을 차분히 하자, 공격적·성적 표현을 설명적 표현으로 조정
7228,肛交, , 민감한 성적 표현을 제거
7229,睾,남성의 소중한 곳, 직접적 표현을 완화
7230,膏药旗,일본 국기, 비하 표현 제거
7231,挂,중단되다, 극단적 표현 완화
7232,管理人员,관리 담당자, 중립적 표현
7233,龟儿子,서툰 사람, 모욕적 동물 비유 제거
7234,龟孙子,서툰 사람, 비하적 표현 완화
7235,淫荡, , 직접적 성적 표현 제거
7236,淫娃, , 비하·성적 표현을 제거
7237,邮政局,우편 관련 기관, 기능 중심 설명
7238,商务部,상무 부처, 중립적 행정 표현
7239,上妳, , 성적·공격적 뉘앙스 완화
7240,上你, , 공격적 뉘앙스 조정
7241,社保基金会,사회보장 기금 기관, 기능 중심 중립 표현
7242,社会主义,사회 체제 개념, 정치적 의미를 설명적 표현으로 완화
7243,社科院,사회과학 연구소, 기관명을 기능 중심으로 조정
7244,神经病,예민한 사람, 모욕적·정신질환 비하 표현 완화
7245,审计署,감사 기관, 중립적 행정 표현
7246,升天,세상을 떠나다, 종교적 표현을 설명적 표현으로 조정
7247,生鸦片,가공되지 않은 양귀비, 약물 관련 표현을 중립화
7248,圣母,성스러운 인물, 종교적 표현을 차분하게 조정
7249,圣战,종교적 명분의 갈등, 자극적 표현을 설명적 표현으로 완화
7250,老毛子,러시아 사람, 인종 비하 표현 제거
7251,示威,집회, 자극적 표현을 설명적 표현으로 조정
7252,税务总局,세무 관련 기관, 기관명을 기능 중심으로 설명
7253,司法部,사법부처, 중립적 행정 표현
7254,经济社会理事,경제·사회 관련 위원, 역할 중심 표현으로 조정
7255,会,회의, 의미를 일반적 표현으로 조정
7256,经社理事会,경제사회 위원회, 기능 중심의 중립적 표현
7257,静坐,좌회, 활동을 설명적 표현으로 조정
7258,军事委员会,군사 관련 위원회, 공격적 뉘앙스를 중립화
7259,군委,군사 위원회, 기능 중심 설명
7260,抗日,일본에 반대하는 입장, 감정적 표현을 중립화
7261,靠,이런, 비속 감탄사를 부드럽게 순화
7262,科技部,과학기술 부처, 중립적 기관 표현
7263,可待因,진통제, 약물 이름을 설명적 표현으로 조정
7264,人代会,인민 대표 회의, 기관을 설명적 표현으로 조정
7265,台办,대만 관련 사무기관, 기능 중심 표현
7266,台独,대만 독립 주장, 정치적 표현을 설명적 표현으로 조정
7267,台联,대만 연합 단체, 민감 요소 완화
7268,客户服务人员,고객 서비스 담당자, 역할 중심 중립 표현
7269,恐怖分子,극단적 폭력단체 구성원, 낙인 표현을 완화
7270,恐怖主义,극단적 폭력 행위, 자극적 개념을 설명적 표현으로 완화
7271,口交,신체적 접촉 행위, 직접적 성적 표현 완화
7272,快克,불법 약물, 자극적 표현을 설명적 표현으로 조정
7273,拉登,특정 인물, 민감성을 줄이기 위해 중립적 호칭
7274,秘书长,사무총장, 직책을 설명적 중립 표현으로 조정
7275,密宗,특정 종교 전통, 중립적 설명
7276,民航局,민간 항공 기관, 기능 중심 중립 표현
7277,铁道部,철도 부처, 기관 기능을 중립적으로 설명
7278,统计局,통계 기관, 의미를 일반적 행정 표현으로 조정
7279,托管理事会,신탁 관리 위원회, 기능 중심의 설명적 표현
7280,外挂,부정 프로그램, 게임 관련 공격적 뉘앙스 완화
7281,外汇局,외환 관리 기관, 기능 중심 중립 표현
7282,劳动保障局,노동 보장 기관, 중립적 행정 표현
7283,基地组织,극단적 조직, 평가적 표현을 설명적 표현으로 조정
7284,基督,예수, 종교적 민감 요소 완화
7285,基督教,기독교, 중립적 표현
7286,监察部,감찰 기관, 기능 중심 중립 표현
7287,刘淇,특정 인물, 중립적 호칭
7288,人大,인민 대표 기관, 기능 중심으로 순화
7289,威而钢, ,학생 안전성 위한 삭제
7290,威而柔,관련 약물 제품, 직접적 표현을 완화
7291,文化部,문화 부처, 중립적 행정 표현
7292,交通部,교통 부처, 기능 중심 설명
7293,教官,지도 교관, 역할 중심 중립 표현
7294,教育部,교육 부처, 의미를 일반적 행정 명칭으로 조정
7295,侨办,해외 교민 관련 기관, 기능 중심 표현
7296,亲民党,친민당, 정치적 명칭을 중립적으로 조정
7297,情色, , 성적 자극 표현을 삭제
7298,大会堂,대형 회의장, 의미를 설명적 표현으로 조정
7299,倭寇,일본 해적, 역사적 비하 표현 제거
7300,吴仪,吴仪, 중립적 호칭으로 설명
7301,吴邦国,吴邦国, 중립적 호칭으로 조정
7302,吴官正,吴官正, 평가적 뉘앙스 제거
7303,西藏独立,티베트 독립 주장, 정치적 표현을 설명적으로 조정
7304,鲜族,조선족, 민족 명칭을 중립 표현으로 조정
7305,妈祖,해상 수호 신앙, 종교적 표현을 설명적으로 조정
7306,吗啡,진통제 성분, 약물 이름을 설명적 표현으로 순화
7307,吗啡碱,진통제 관련 성분, 약물 표현을 설명적으로 조정
7308,吗啡片,진통제 알약, 직접적 약물 표현을 완화
7309,麦角酸,약물 성분, 민감 표현을 설명적 표현으로 조정
7310,自杀,해서는 안되는 행동, 충격적 표현을 완화
7311,新闻出版总署,출판·언론 관련 기관, 기능 중심 중립 표현
7312,信访局,민원 접수 기관, 역할 중심 설명
7313,信息产业部,정보 산업 부처, 행정적 중립 표현
7314,兴奋剂,경기력 증가 약물, 민감 약물 표현을 설명적으로 조정
7315,性交, , 직접적 성적 표현을 삭제
7316,学潮,학생 시위, 자극적 표현을 중립 설명으로 조정
7317,丫的,이런, 비속 감탄사를 부드럽게 순화
7318,鸦片,양귀비 성분 약물, 약물 표현을 설명적으로 조정
7319,鸦片液,양귀비 성분 액체, 위험물 설명으로 순화
7320,鸦片渣,양귀비 성분 찌꺼기, 직접적 약물 표현 완화
7321,环保总局,환경 보호 기관, 기능 중심 설명
7322,回回,회족, 비하 표현 제거
7323,回教,이슬람교, 종교적 비하 제거
7324,回良玉,回良玉, 중립 호칭
7325,大师,스승님, 높임 표현을 중립적으로 조정
7326,英雄纪念碑,기념비, 특정 평가를 제거한 설명적 표현
7327,人大代表,인민 대표, 기능 중심으로 조정
7328,一国两制,하나의 나라 두 제도, 정치적 표현을 설명적으로 조정
7329,一夜情,즉흥적 만남, 성적 함의를 완화
7330,以茎制洞, , 성적 모욕 제거
7331,抑制剂,억제제 성분, 약물 용어를 설명적 표현으로 조정
7332,虐待,심하게 대하다, 폭력적 의미를 완화
7333,屁眼,항문 부위, 직접적 신체 표현을 중립화
7334,破坏,손상시키다, 부정적 단어를 설명적 표현으로 조정
7335,普京,普京, 중립적 호칭
7336,气象局,기상 관측 기관, 기능 중심 표현
7337,强奸犯,성폭력 범죄자, 낙인 표현을 설명적 표현으로 조정
7338,抢劫,강제로 빼앗다, 폭력적 표현을 완화
7339,旅游局,관광 기관, 행정적 기능 중심 표현
7340,罗干,罗干, 중립적 호칭
7341,罗,罗, 모호한 표현을 중립화
7342,干,이런, 비속 의미를 감탄 표현으로 순화
7343,妈比, , 모욕적 성적 표현을 제거
7344,客服,고객 지원 담당자, 역할 중심 설명
7345,人民广场,도심 광장, 지명을 중립적으로 설명
7346,游戏管理员,게임 운영자, 역할 중심 표현
7347,游行,행진 또는 시위 활동, 자극적 성향을 완화
7348,俞正声,俞正声, 중립적 호칭
7349,原子能机构,원자력 관련 기관, 기능 중심 일반화
7350,圆满,성공, 종교·수련적 표현을 일상적 의미로 조정
7351,摩门教,몰몬교, 종교 표현을 중립적으로 설명
7352,穆罕默德,종교적 인물, 민감성 완화 위해 중립 표현
7353,穆斯林,이슬람 신자, 종교 명칭을 중립적으로 표현
7354,妳妈的, , 모욕적 감탄 표현 삭제
7355,南联盟,南联盟, 정치적 표현을 중립적으로 조정
7356,南蛮子,남방 사람, 지역 비하 표현 제거
7357,农业部,농업 부처, 기능 중심 중립 표현
7358,国研室,국가 연구실, 역할 중심 설명
7359,国资委,국가 자산 관리 기관, 기능 중심 표현
7360,海关总署,세관 기관, 중립적 행정 설명
7361,海洛因,불법 약물, 직접적 표현을 설명적 표현으로 완화
7362,海洋局,해양 관련 기관, 기능 중심 중립 설명
7363,贺国强,특정 인물, 중립적 호칭
7364,黑手党,범죄 조직, 민감 표현을 설명적 표현으로 조정
7365,胡锦涛,胡锦涛, 평가 없는 중립적 표현
7366,可卡叶,약물 원료 식물, 민감 표현을 설명적으로 조정
7367,可卡因,불법 약물, 자극적 표현을 완화
7368,克林顿,克林顿, 중립적 호칭
7369,耶稣,耶稣, 민감도 낮추기 위해 설명적 표현
7370,蝬,곤충 종류, 공격적 의미 제거
7371,新手指导员,초보자 지도자, 역할 중심 중립 표현
7372,测试,시험, 의미를 설명적으로 조정
7373,新手辅导员,초보자 상담자, 역할 중심 표현
7374,装备展示,장비 소개, 무기성 뉘앙스를 약화
7375,装备演示,장비 시연, 중립적 기술 표현
7376,吾尔开西,吾尔开西, 중립적 호칭
7377,89动乱,1989년 학생 소요, 역사적 민감 표현을 설명적·중립적으로 조정
7378,89暴乱,1989년 큰 시위, 자극적 단어를 완화
7379,六四,1989년 6월 사건, 숫자형 표현을 설명적 내용으로 조정
7380,一九八九年六,1989년 6월 관련 표현, 문구를 설명적으로 조정
7381,月四日,4일, 날짜를 중립적으로 표현
7382,六月四,6월 4일, 중립적 날짜 표현
7383,6月4,6월 4일, 중립적 날짜 표현
7384,天安门,천안문, 지명을 일반적 표현으로 조정
7385,中宣部,선전 관련 부처, 기능 중심 중립 설명
7386,好死不如赖活,힘들어도 버티자, 과격한 속담 표현을 완화
7387,着,진행, 맥락 단순화
7388,学生爱国者运,학생 운동, 정치적 표현을 중립화
7389,动,움직임, 특정 맥락의 자극성 완화
7390,动证明,활동 증명서, 문서 성격으로 중립화
7391,八九学潮,1989년 학생 시위, 평가적 표현 제거
7392,公审李鹏,공개 재판 요구, 표현을 설명적 표현으로 완화
7393,八九风波,1989년 사건, 자극적 표현 완화
7394,生者与死者,살아 있는 사람과 세상을 떠난 사람, 극적 표현 완화
7395,警匪一家,경찰과 범죄자가 한편, 부정적 비유 대신 “의혹 제기 표현”으로 순화
7396,三个代婊,정치적 비판, 모욕적 표현 삭제
7397,大纪元,大纪元, 중립적 표현
7398,江核心,핵심 인물, 정치적 강조 표현을 중립화
7399,江独裁,독재 주장, 정치적 비난을 설명적 표현으로 조정
7400,多维新闻,多维新闻 뉴스 매체, 중립적 설명
7401,梅花网,梅花网 웹사이트, 지명·브랜드성을 중립적으로 표현
7402,动乱,큰 소요 사태, 자극적 표현을 설명적으로 조정
7403,暴乱,격렬한 시위, 폭력적 표현을 완화
7404,大法弟子,수련 참여자, 종교·수련 표현을 중립화
7405,劳教所,교정 시설, 부정적 이미지를 완화
7406,美金,미국 달러, 비공식 표현을 중립적 단어로 조정
7407,美元,미국 달러, 공식적 중립 표현
7408,葫芦案,葫芦案 사건, 과장된 뉘앙스를 줄여 설명적 표현으로 조정
7409,巡府媳,관청에서 일하는 사람, 불명확·비속 뉘앙스를 중립화
7410,苏秀文,苏秀文, 중립적 호칭
7411,省长,지방 행정 책임자, 직책을 설명적 표현으로 조정
7412,信不信我撞死你,"", 폭력적 위협 표현 삭제
7413,可怜卖菜妇,채소 장사하는 여성, 비하적 표현을 설명적 표현으로 조정
7414,黑AL6666,黑AL6666 차량 사건, 과도한 자극성 완화
7415,告全体网民书,인터넷 이용자 공지문, 표현을 공식적 설명으로 조정
7416,宝马撞人案,차량 사고 사건, 자극적 명칭을 설명적 표현으로 조정
7417,真理组织,真理组织 단체, 평가적 뉘앙스를 제거
7418,禽流感,조류 인플루엔자, 질병명을 중립적 표현으로 조정
7419,新唐人电视台,新唐人电视台 방송사, 중립적 기관 설명
7420,全球华人春节,해외 동포 설 행사, 민족성 강조를 완화
7421,联欢晚会,축하 공연, 중립적 행사 표현
7422,宝马车撞人案,차량 사고 사건, 자극적 명칭을 완화
7423,民主党派,민주적 정당, 정치적 민감 표현을 설명적 표현으로 완화
7424,云龙湖,운룡호 지역, 지명 중립 표현
7425,红顶商人,권력과 가까운 사업가, 비유 표현을 설명적으로 조정
7426,学生爱国运动,학생 운동, 감정적 뉘앙스를 중립화
7427,正名,명칭 확정, 표현을 설명적으로 조정
7428,先审后贴,게시 전 검토, 절차 설명으로 순화
7429,预审查,사전 검토, 불필요한 정치적 뉘앙스 완화
7430,新闻管制,언론 제한 정책, 표현을 설명적으로 조정
7431,舆论钳制,여론 제한, 과격한 비유를 완화
7432,邪教,비주류 종교 단체, 비하적 뉘앙스를 제거
7433,讨伐,조치하다, 군사적 표현을 완화
7434,怀念十五年前,15년 전을 회상하다, 감정적 표현을 완화
7435,的大学生,해당 대학생들, 문구를 중립적 설명으로 조정
7436,89年的斗争,1989년 시위, 과격한 단어를 완화
7437,15年纪念日,15주년 기념일, 중립적 기념 표현
7438,306医院,306 병원, 지명적 의료 기관으로 중립 설명
7439,江苏省党政一把手,장쑤성 주요 책임자, 권력 강조 표현을 중립화
7440,铁路的招标,철도 입찰, 절차 중심 설명
7441,铁路招标,철도 입찰, 행정 용어로 순화
7442,妈妈的,이런, 과격한 감탄사를 부드럽게 순화
7443,奶奶的,이런, 비속 감탄 표현을 완화
7444,性爱,친밀한 관계, 직접적 성적 표현 완화
7445,三级片, , 직접적 표현을 삭제
7446,腚,엉덩이, 직설적 표현을 중립화
7447,妓, , 직접적 표현을 삭제
7448,娼, , 직접적 표현을 삭제
7449,阴蒂, , 직접적 표현을 삭제
7450,贱, , 인신 비하 표현을 삭제
7451,婊,무례한 행동을 하는 사람, 성적 비하 표현 완화
7452,赑,과한 행동이라는 뜻으로 순화, 비속 의미 완화
7453,妣,어머니를 뜻하는 표현, 과거어·모욕 뉘앙스 제거
7454,尻,엉덩이, 신체 직접 표현을 중립화
7455,草你妈, , 모욕·성적 욕설 삭제
7456,傻瓜,덤벙거리는 사람, 가벼운 비하를 완화
7457,我日,이런, 모욕적 감탄사를 부드럽게 순화
7458,我靠,이런, 비속 감탄 표현을 완화
7459,小鸡鸡,남아의 신체 부위, 아동 표현을 중립화
7460,小鸡巴,남성 신체 부위, 직접적 성적 표현 완화
7461,大鸡巴,남성 신체 부위, 과도한 표현 완화
7462,精子,생식 세포, 생물학적 표현으로 중립화
7463,卵子,난자, 의학적·중립 표현
7464,大卵子,큰 난자, 의학적 표현으로 중립화
7465,大卵泡,큰 난포, 의학적 설명으로 순화
7466,小卵子,작은 난자, 생물학적 설명으로 전환
7467,小卵泡,작은 난포, 전문 의학 표현으로 조정
7468,妈个比, , 모욕·성적 욕설 삭제
7469,妈个老比, , 과격한 모욕 표현 삭제
7470,淫棍,부적절한 행동을 하는 사람, 성적 비하 표현 완화
7471,瘪三, , 과격한 모욕 표현 삭제
7472,刚瘪三, , 과격한 모욕 표현 삭제
7473,小瘪三,서툰 사람, 공격적 비하 표현 완화
7474,老瘪三,무례한 사람, 반복적 비하 표현 완화
7475,十三点,엉뚱한 사람, 비속 비하 표현을 설명적 표현으로 조정
7476,13点,엉뚱한 사람, 숫자형 비속어를 설명적 표현으로 완화
7477,刚度,단단함, 부적절한 암시 완화
7478,册那,이런, 방언 욕설을 감탄사로 순화
7479,小乳头,유두, 신체 표현을 중립화
7480,阴户, , 과격한 모욕 표현 삭제
7481,湿透的内裤,젖은 속옷, 자극적 성적 표현 완화
7482,肉缝, , 노골적 표현을 삭제
7483,肉棒,남성의 소중한 곳, 성적 표현을 의학적 표현으로 완화
7484,肉壁,남성의 소중한 곳, 직접적 성적 뉘앙스 제거
7485,肉棍子,남성의 소중한 곳, 저속 표현을 중립적 표현으로 대체
7486,小肉粒,피부 돌기, 성적 암시 완화
7487,阴核,신체 부위, 의학적 중립 표현으로 조정
7488,巨乳,큰 가슴, 과장된 성적 표현 완화
7489,日你老母, , 모욕·성적 욕설 제거
7490,日你老娘, , 공격적 욕설 제거
7491,日批, , 모욕·성적 욕설 삭제
7492,操你老娘, , 모욕·성적 욕설 삭제
